node,filename,word_count,unique_word_count,lexical_diversity,avg_sentence_len,stopword_ratio
node1,network_latency,1788,111,0.06208053691275168,15.190082644628099,0.3814317673378076
node1,neural_search,2049,115,0.05612493899463153,15.246376811594203,0.37481698389458273
node1,open_source,2084,114,0.05470249520153551,15.113475177304965,0.3781190019193858
node1,parallel_processing,1592,105,0.06595477386934673,14.43362831858407,0.4026381909547739
node1,python_scripting,1606,112,0.06973848069738481,14.669642857142858,0.3698630136986301
node1,query_optimization,1961,110,0.05609382967873534,15.404580152671755,0.3819479857215706
node1,ranking_algorithms,1633,107,0.065523576240049,14.927927927927929,0.40477648499693814
node1,semantic_analysis,1499,114,0.07605070046697798,14.778846153846153,0.35557038025350235
node1,software_architecture,1932,113,0.05848861283643892,15.645669291338583,0.36180124223602483
node1,statistics,1537,113,0.07351984385165908,15.247619047619047,0.3923227065712427
node1,stopword_removal,1552,108,0.06958762886597938,15.271844660194175,0.36855670103092786
node1,tf-idf_scoring,1640,105,0.06402439024390244,15.028571428571428,0.3603658536585366
node1,tokenization,2187,117,0.053497942386831275,15.161073825503356,0.386374028349337
node1,user_interface,1809,107,0.05914870093974572,14.634920634920634,0.3587617468214483
node1,vector_databases,2129,112,0.05260685767966181,14.758389261744966,0.37341474870831376
node1,version_control,1986,110,0.0553877139979859,14.91970802919708,0.37009063444108764
node1,virtual_reality,1491,103,0.06908115358819585,14.872549019607844,0.3822937625754527
node1,web_scrapers,1921,113,0.058823529411764705,14.644444444444444,0.3768870380010411
node2,api_integration,2030,112,0.05517241379310345,15.474074074074075,0.3753694581280788
node2,artificial_intelligence,1818,113,0.06215621562156216,14.951612903225806,0.3888888888888889
node2,augmented_reality,2134,112,0.05248359887535145,15.46808510638298,0.38003748828491096
node2,back-end_engineering,2348,121,0.05153321976149915,15.263513513513514,0.346252129471891
node2,big_data,1930,110,0.05699481865284974,14.871212121212121,0.3673575129533679
node2,blockchain_technology,1790,108,0.060335195530726256,14.592,0.38268156424581007
node2,bm25_algorithm,1769,111,0.06274731486715658,14.708955223880597,0.4177501413227812
node2,boolean_logic,1561,107,0.06854580397181294,15.77,0.37540038436899426
node2,cloud_computing,2136,113,0.05290262172284644,15.354166666666666,0.398876404494382
node2,clustering_data,1747,108,0.061820263308528904,15.2991452991453,0.39324556382369774
node2,cybersecurity,1589,102,0.06419131529263687,15.01834862385321,0.3662680931403398
node2,database_sharding,1787,116,0.06491326245103525,15.394957983193278,0.36653609401231113
node2,data_crawling,1909,109,0.0570979570455736,15.5,0.3771608171817706
node2,data_persistence,1482,105,0.0708502024291498,15.088235294117647,0.36774628879892035
node2,devops_pipeline,2081,112,0.05382027871215762,15.134751773049645,0.3762614127823162
node2,edge_computing,1671,110,0.06582884500299221,14.817391304347826,0.38300418910831835
node2,elastic_scaling,1734,110,0.06343713956170703,15.09322033898305,0.39100346020761245
node2,front-end_design,1825,108,0.05917808219178082,14.647058823529411,0.353972602739726
node2,full_text_search,1492,104,0.06970509383378017,14.941176470588236,0.3726541554959786
node2,game_development,1695,109,0.06430678466076696,15.4375,0.3811209439528024
node3,graphic_rendering,1910,109,0.05706806282722513,14.5,0.40209424083769635
node3,information_retrieval,1615,102,0.06315789473684211,14.6,0.3696594427244582
node3,inverted_indexing,1515,109,0.07194719471947195,14.695238095238095,0.3808580858085809
node3,iot_frameworks,1778,111,0.06242969628796401,15.190082644628099,0.3560179977502812
node3,keyword_indexing,1850,115,0.062162162162162166,14.8203125,0.37243243243243246
node3,knowledge_graphs,2214,116,0.052393857271906055,15.385135135135135,0.3857271906052394
node3,linear_algebra,2044,113,0.055283757338551856,14.618055555555555,0.3840508806262231
node3,machine_learning,1866,107,0.05734190782422294,15.0,0.3703108252947481
node3,metadata_tagging,1476,108,0.07317073170731707,14.911764705882353,0.34959349593495936
node3,microservices,1705,103,0.06041055718475073,14.596638655462185,0.3671554252199413
node3,mobile_development,1552,104,0.06701030927835051,14.743119266055047,0.389819587628866
node3,natural_language,2215,116,0.05237020316027088,15.25,0.3611738148984199
